2D Network settings: o=[ 4.0 18.0 ] nConns=75 nHidden=26 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.03626,0.03947,  75,  26
2,1,0.03920,0.02933,  75,  26
3,1,0.06249,0.02392,  75,  26
4,1,0.03029,0.03476,  75,  26
5,1,0.04305,0.03334,  75,  26
6,1,0.04403,0.02484,  75,  26
7,1,0.03197,0.03594,  75,  26
8,1,0.03526,0.03965,  75,  26
9,1,0.02678,0.04046,  75,  26
10,1,0.03917,0.03258,  75,  26
11,1,0.03708,0.04007,  75,  26
12,1,0.04457,0.03315,  75,  26
13,1,0.03550,0.02727,  75,  26
14,1,0.03644,0.03391,  75,  26
15,1,0.03796,0.03898,  75,  26
16,1,0.03886,0.04467,  75,  26
17,1,0.04214,0.03224,  75,  26
18,1,0.04366,0.03297,  75,  26
19,1,0.04498,0.02902,  75,  26
20,1,0.02669,0.04940,  75,  26
21,1,0.03364,0.03425,  75,  26
22,1,0.03692,0.04035,  75,  26
23,1,0.03413,0.04015,  75,  26
24,1,0.02857,0.03080,  75,  26
25,1,0.03914,0.02967,  75,  26
26,1,0.04513,0.03865,  75,  26
27,1,0.05104,0.02392,  75,  26
28,1,0.03883,0.03743,  75,  26
29,1,0.02775,0.05083,  75,  26
30,1,0.02775,0.03076,  75,  26
31,1,0.03969,0.03756,  75,  26
32,1,0.02596,0.05019,  75,  26
33,1,0.03086,0.04209,  75,  26
34,1,0.03721,0.03687,  75,  26
35,1,0.03344,0.04733,  75,  26
36,1,0.02645,0.04651,  75,  26
37,1,0.04573,0.03694,  75,  26
38,1,0.03729,0.03463,  75,  26
39,1,0.04311,0.03282,  75,  26
40,1,0.03119,0.03916,  75,  26
41,1,0.03791,0.03074,  75,  26
42,1,0.03174,0.03600,  75,  26
43,1,0.03628,0.03284,  75,  26
44,1,0.03504,0.03602,  75,  26
45,1,0.03862,0.03032,  75,  26
46,1,0.03124,0.03798,  75,  26
47,1,0.02576,0.04294,  75,  26
48,1,0.05142,0.02515,  75,  26
49,1,0.02519,0.03602,  75,  26
50,1,0.02483,0.05365,  75,  26
51,1,0.02980,0.04328,  75,  26
52,1,0.03861,0.02966,  75,  26
53,1,0.03162,0.04034,  75,  26
54,1,0.05445,0.03197,  75,  26
55,1,0.03447,0.03068,  75,  26
56,1,0.01868,0.04522,  75,  26
57,1,0.03228,0.03967,  75,  26
58,1,0.02920,0.04264,  75,  26
59,1,0.03236,0.03647,  75,  26
60,1,0.03722,0.02833,  75,  26
61,1,0.03283,0.04306,  75,  26
62,1,0.04799,0.03058,  75,  26
63,1,0.02547,0.05029,  75,  26
64,1,0.04486,0.02671,  75,  26
65,1,0.04818,0.02705,  75,  26
66,1,0.03905,0.03682,  75,  26
67,1,0.03135,0.03356,  75,  26
68,1,0.02594,0.05539,  75,  26
1,2,0.02882,0.03896,  75,  26
2,2,0.02808,0.03970,  75,  26
3,2,0.03316,0.04664,  75,  26
4,2,0.02610,0.05430,  75,  26
5,2,0.03177,0.04054,  75,  26
6,2,0.03918,0.04644,  75,  26
7,2,0.02530,0.05018,  75,  26
8,2,0.02597,0.06304,  75,  26
9,2,0.03489,0.03019,  75,  26
10,2,0.02303,0.05561,  75,  26
11,2,0.02869,0.04558,  75,  26
12,2,0.03571,0.03471,  75,  26
13,2,0.02509,0.05131,  75,  26
14,2,0.02747,0.03838,  75,  26
15,2,0.01845,0.06272,  75,  26
16,2,0.02150,0.04969,  75,  26
17,2,0.03734,0.03100,  75,  26
18,2,0.02404,0.04612,  75,  26
19,2,0.02706,0.04489,  75,  26
20,2,0.03877,0.04079,  75,  26
21,2,0.02594,0.04404,  75,  26
22,2,0.02234,0.05841,  75,  26
23,2,0.02458,0.05662,  75,  26
24,2,0.03211,0.04587,  75,  26
25,2,0.02411,0.05140,  75,  26
26,2,0.03922,0.04575,  75,  26
27,2,0.05423,0.02599,  75,  26
28,2,0.03768,0.03457,  75,  26
29,2,0.03004,0.05258,  75,  26
30,2,0.02369,0.05752,  75,  26
31,2,0.02978,0.04712,  75,  26
32,2,0.02927,0.04707,  75,  26
33,2,0.04052,0.03980,  75,  26
34,2,0.03819,0.04468,  75,  26
35,2,0.02049,0.04931,  75,  26
36,2,0.03881,0.04567,  75,  26
37,2,0.03159,0.04444,  75,  26
38,2,0.03928,0.03592,  75,  26
39,2,0.04308,0.04003,  75,  26
40,2,0.02230,0.05166,  75,  26
41,2,0.03070,0.04929,  75,  26
42,2,0.02146,0.05161,  75,  26
43,2,0.02875,0.05230,  75,  26
44,2,0.02829,0.04776,  75,  26
45,2,0.03081,0.03936,  75,  26
46,2,0.03286,0.04102,  75,  26
47,2,0.02361,0.04896,  75,  26
48,2,0.02231,0.05938,  75,  26
49,2,0.02412,0.06059,  75,  26
50,2,0.02172,0.05689,  75,  26
51,2,0.03004,0.05112,  75,  26
52,2,0.03185,0.04897,  75,  26
53,2,0.03113,0.04308,  75,  26
54,2,0.02905,0.05645,  75,  26
55,2,0.02609,0.04711,  75,  26
56,2,0.02213,0.05309,  75,  26
57,2,0.02964,0.04612,  75,  26
58,2,0.02825,0.04748,  75,  26
59,2,0.03126,0.04572,  75,  26
60,2,0.03390,0.05039,  75,  26
61,2,0.02494,0.05588,  75,  26
62,2,0.03312,0.05364,  75,  26
63,2,0.01965,0.05411,  75,  26
64,2,0.02765,0.04930,  75,  26
65,2,0.03525,0.04197,  75,  26
66,2,0.03583,0.04186,  75,  26
67,2,0.02330,0.05449,  75,  26
68,2,0.03018,0.03882,  75,  26
