1D Network settings: o=[ 1.8 12.0 ] nConns=9 nHidden=14 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.01398,0.04325,   9,  14
2,1,0.00945,0.00245,   9,  14
3,1,0.00035,0.00004,   9,  14
4,1,0.00755,0.00655,   9,  14
5,1,0.00499,0.01497,   9,  14
6,1,0.00863,0.01050,   9,  14
7,1,0.00903,0.01746,   9,  14
8,1,0.00661,0.00785,   9,  14
9,1,0.00707,0.01076,   9,  14
10,1,0.01098,0.02715,   9,  14
11,1,0.00901,0.01036,   9,  14
12,1,0.00766,0.00973,   9,  14
13,1,0.01532,0.00651,   9,  14
14,1,0.00870,0.00754,   9,  14
15,1,0.00443,0.02796,   9,  14
16,1,0.02518,0.01480,   9,  14
17,1,0.00882,0.00551,   9,  14
18,1,0.00965,0.00541,   9,  14
19,1,0.01177,0.01503,   9,  14
20,1,0.00976,0.02102,   9,  14
21,1,0.02615,0.01745,   9,  14
22,1,0.00677,0.01950,   9,  14
23,1,0.00847,0.00685,   9,  14
24,1,0.00463,0.00827,   9,  14
25,1,0.01816,0.01880,   9,  14
26,1,0.00835,0.01054,   9,  14
27,1,0.00806,0.02116,   9,  14
28,1,0.00461,0.01683,   9,  14
29,1,0.01046,0.00980,   9,  14
30,1,0.00223,0.00711,   9,  14
31,1,0.00409,0.00419,   9,  14
32,1,0.00345,0.04500,   9,  14
33,1,0.02135,0.01031,   9,  14
34,1,0.01735,0.00980,   9,  14
35,1,0.00250,0.01212,   9,  14
36,1,0.00934,0.01348,   9,  14
37,1,0.02043,0.01561,   9,  14
38,1,0.00644,0.02507,   9,  14
39,1,0.01392,0.02723,   9,  14
40,1,0.00868,0.01019,   9,  14
41,1,0.01895,0.01242,   9,  14
42,1,0.01338,0.02694,   9,  14
43,1,0.00969,0.01277,   9,  14
44,1,0.03281,0.02085,   9,  14
45,1,0.00720,0.01822,   9,  14
46,1,0.01199,0.00370,   9,  14
47,1,0.01395,0.01633,   9,  14
48,1,0.01755,0.00690,   9,  14
49,1,0.00563,0.00725,   9,  14
50,1,0.00402,0.00605,   9,  14
51,1,0.00986,0.02510,   9,  14
52,1,0.02100,0.02062,   9,  14
53,1,0.00477,0.00555,   9,  14
54,1,0.00928,0.00849,   9,  14
55,1,0.01469,0.02992,   9,  14
56,1,0.00831,0.00542,   9,  14
57,1,0.01142,0.01134,   9,  14
58,1,0.01318,0.01706,   9,  14
59,1,0.00742,0.00780,   9,  14
60,1,0.00993,0.02106,   9,  14
61,1,0.01707,0.00680,   9,  14
62,1,0.00187,0.00849,   9,  14
63,1,0.01196,0.03508,   9,  14
64,1,0.02015,0.02553,   9,  14
65,1,0.03883,0.01947,   9,  14
66,1,0.01763,0.01678,   9,  14
67,1,0.01120,0.01990,   9,  14
68,1,0.01150,0.01837,   9,  14
1,2,0.00845,0.08362,   9,  14
2,2,0.00531,0.03493,   9,  14
3,2,0.00990,0.02103,   9,  14
4,2,0.00635,0.02522,   9,  14
5,2,0.00583,0.00926,   9,  14
6,2,0.01546,0.03081,   9,  14
7,2,0.01210,0.01466,   9,  14
8,2,0.00801,0.00891,   9,  14
9,2,0.00754,0.03125,   9,  14
10,2,0.00681,0.01318,   9,  14
11,2,0.00735,0.02036,   9,  14
12,2,0.00648,0.01232,   9,  14
13,2,0.00768,0.04151,   9,  14
14,2,0.00419,0.01628,   9,  14
15,2,0.00421,0.01050,   9,  14
16,2,0.00913,0.03839,   9,  14
17,2,0.00931,0.00529,   9,  14
18,2,0.01955,0.05226,   9,  14
19,2,0.00297,0.02754,   9,  14
20,2,0.01106,0.01191,   9,  14
21,2,0.00532,0.02804,   9,  14
22,2,0.01509,0.02284,   9,  14
23,2,0.00266,0.02498,   9,  14
24,2,0.00700,0.02470,   9,  14
25,2,0.01943,0.02891,   9,  14
26,2,0.00323,0.01763,   9,  14
27,2,0.01067,0.01233,   9,  14
28,2,0.00532,0.00621,   9,  14
29,2,0.01189,0.03729,   9,  14
30,2,0.03111,0.02702,   9,  14
31,2,0.00399,0.04768,   9,  14
32,2,0.01198,0.03462,   9,  14
33,2,0.00612,0.03357,   9,  14
34,2,0.00300,0.01194,   9,  14
35,2,0.00147,0.01638,   9,  14
36,2,0.02136,0.02249,   9,  14
37,2,0.00485,0.00946,   9,  14
38,2,0.01301,0.01725,   9,  14
39,2,0.01474,0.01387,   9,  14
40,2,0.00368,0.00473,   9,  14
41,2,0.00907,0.03879,   9,  14
42,2,0.00588,0.05003,   9,  14
43,2,0.01921,0.01577,   9,  14
44,2,0.00728,0.00778,   9,  14
45,2,0.01512,0.01334,   9,  14
46,2,0.00723,0.00329,   9,  14
47,2,0.00241,0.00847,   9,  14
48,2,0.01288,0.02533,   9,  14
49,2,0.00842,0.03062,   9,  14
50,2,0.01682,0.01784,   9,  14
51,2,0.00411,0.00744,   9,  14
52,2,0.00975,0.01191,   9,  14
53,2,0.00610,0.00718,   9,  14
54,2,0.00664,0.02574,   9,  14
55,2,0.02504,0.03527,   9,  14
56,2,0.00261,0.02113,   9,  14
57,2,0.00925,0.02003,   9,  14
58,2,0.01169,0.03421,   9,  14
59,2,0.00396,0.01493,   9,  14
60,2,0.00431,0.00533,   9,  14
61,2,0.01212,0.01486,   9,  14
62,2,0.01237,0.01270,   9,  14
63,2,0.00555,0.01860,   9,  14
64,2,0.00552,0.01882,   9,  14
65,2,0.00260,0.01660,   9,  14
66,2,0.00554,0.03492,   9,  14
67,2,0.01517,0.02337,   9,  14
68,2,0.00812,0.02318,   9,  14
