2D Network settings: o=[ 4.0 18.0 ] nConns=80 nHidden=24 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.02552,0.05222,  80,  24
2,1,0.03305,0.03984,  80,  24
3,1,0.04030,0.03755,  80,  24
4,1,0.03401,0.04802,  80,  24
5,1,0.03170,0.04627,  80,  24
6,1,0.02456,0.04590,  80,  24
7,1,0.03144,0.05756,  80,  24
8,1,0.03020,0.04063,  80,  24
9,1,0.02980,0.04077,  80,  24
10,1,0.02638,0.05124,  80,  24
11,1,0.04023,0.03786,  80,  24
12,1,0.02030,0.04484,  80,  24
13,1,0.06068,0.02623,  80,  24
14,1,0.03389,0.03841,  80,  24
15,1,0.03037,0.03917,  80,  24
16,1,0.04159,0.02908,  80,  24
17,1,0.04041,0.04028,  80,  24
18,1,0.03375,0.05378,  80,  24
19,1,0.05138,0.02179,  80,  24
20,1,0.04217,0.02734,  80,  24
21,1,0.03762,0.04121,  80,  24
22,1,0.05462,0.02593,  80,  24
23,1,0.03917,0.04483,  80,  24
24,1,0.03918,0.03265,  80,  24
25,1,0.02752,0.04578,  80,  24
26,1,0.04992,0.02902,  80,  24
27,1,0.03685,0.03341,  80,  24
28,1,0.03730,0.03121,  80,  24
29,1,0.04403,0.03613,  80,  24
30,1,0.04724,0.02899,  80,  24
31,1,0.02908,0.03871,  80,  24
32,1,0.02935,0.03872,  80,  24
33,1,0.02543,0.05054,  80,  24
34,1,0.02784,0.04115,  80,  24
35,1,0.02851,0.05217,  80,  24
36,1,0.03434,0.04387,  80,  24
37,1,0.03004,0.04160,  80,  24
38,1,0.03413,0.04807,  80,  24
39,1,0.01483,0.05987,  80,  24
40,1,0.02634,0.04836,  80,  24
41,1,0.03705,0.04547,  80,  24
42,1,0.05550,0.02476,  80,  24
43,1,0.02935,0.04235,  80,  24
44,1,0.04231,0.02971,  80,  24
45,1,0.03033,0.03079,  80,  24
46,1,0.03132,0.02750,  80,  24
47,1,0.02959,0.05188,  80,  24
48,1,0.02756,0.04841,  80,  24
49,1,0.04700,0.02519,  80,  24
50,1,0.03307,0.04834,  80,  24
51,1,0.04897,0.03095,  80,  24
52,1,0.03270,0.03093,  80,  24
53,1,0.02550,0.05427,  80,  24
54,1,0.02555,0.03848,  80,  24
55,1,0.03944,0.03569,  80,  24
56,1,0.04335,0.04777,  80,  24
57,1,0.02680,0.04981,  80,  24
58,1,0.03396,0.03412,  80,  24
59,1,0.02808,0.04506,  80,  24
60,1,0.03178,0.04130,  80,  24
61,1,0.03278,0.03751,  80,  24
62,1,0.04087,0.03566,  80,  24
63,1,0.04144,0.02754,  80,  24
64,1,0.03091,0.03897,  80,  24
65,1,0.04454,0.02482,  80,  24
66,1,0.02579,0.03740,  80,  24
67,1,0.03667,0.02922,  80,  24
68,1,0.04207,0.03281,  80,  24
1,2,0.02040,0.05971,  80,  24
2,2,0.02911,0.03508,  80,  24
3,2,0.02822,0.04558,  80,  24
4,2,0.03337,0.04721,  80,  24
5,2,0.02690,0.05198,  80,  24
6,2,0.03457,0.04477,  80,  24
7,2,0.03036,0.05464,  80,  24
8,2,0.03845,0.03651,  80,  24
9,2,0.02945,0.04213,  80,  24
10,2,0.02529,0.04898,  80,  24
11,2,0.03141,0.03793,  80,  24
12,2,0.02611,0.05629,  80,  24
13,2,0.02569,0.04490,  80,  24
14,2,0.02036,0.05396,  80,  24
15,2,0.02555,0.04965,  80,  24
16,2,0.03653,0.03186,  80,  24
17,2,0.02874,0.04650,  80,  24
18,2,0.02346,0.05692,  80,  24
19,2,0.03048,0.04071,  80,  24
20,2,0.02246,0.06340,  80,  24
21,2,0.03090,0.03718,  80,  24
22,2,0.03668,0.03895,  80,  24
23,2,0.02588,0.05155,  80,  24
24,2,0.03035,0.04115,  80,  24
25,2,0.03499,0.04773,  80,  24
26,2,0.02878,0.05423,  80,  24
27,2,0.02767,0.05368,  80,  24
28,2,0.03277,0.04393,  80,  24
29,2,0.02773,0.05107,  80,  24
30,2,0.04114,0.03300,  80,  24
31,2,0.02872,0.04737,  80,  24
32,2,0.03181,0.04903,  80,  24
33,2,0.03297,0.05658,  80,  24
34,2,0.04020,0.03316,  80,  24
35,2,0.03730,0.03546,  80,  24
36,2,0.03715,0.03564,  80,  24
37,2,0.02871,0.04998,  80,  24
38,2,0.03009,0.04762,  80,  24
39,2,0.01981,0.05431,  80,  24
40,2,0.02483,0.04742,  80,  24
41,2,0.01845,0.06173,  80,  24
42,2,0.03688,0.03234,  80,  24
43,2,0.03975,0.02827,  80,  24
44,2,0.03391,0.03883,  80,  24
45,2,0.03586,0.04595,  80,  24
46,2,0.03881,0.03679,  80,  24
47,2,0.02856,0.04796,  80,  24
48,2,0.03562,0.04510,  80,  24
49,2,0.02273,0.05342,  80,  24
50,2,0.02733,0.03626,  80,  24
51,2,0.02867,0.04996,  80,  24
52,2,0.02393,0.05248,  80,  24
53,2,0.02906,0.05196,  80,  24
54,2,0.02832,0.04783,  80,  24
55,2,0.04030,0.02837,  80,  24
56,2,0.02328,0.05713,  80,  24
57,2,0.02974,0.03914,  80,  24
58,2,0.02618,0.05467,  80,  24
59,2,0.02522,0.04213,  80,  24
60,2,0.02166,0.05618,  80,  24
61,2,0.04178,0.03407,  80,  24
62,2,0.02380,0.05510,  80,  24
63,2,0.03416,0.04571,  80,  24
64,2,0.04216,0.03766,  80,  24
65,2,0.03540,0.03564,  80,  24
66,2,0.03228,0.04308,  80,  24
67,2,0.03500,0.03199,  80,  24
68,2,0.02768,0.04273,  80,  24
