1D Network settings: o=[ 1.8 12.0 ] nConns=5 nHidden=13 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.04148,0.03047,   5,  13
2,1,0.00831,0.00868,   5,  13
3,1,0.00923,0.01592,   5,  13
4,1,0.02422,0.02800,   5,  13
5,1,0.00812,0.01243,   5,  13
6,1,0.00519,0.01150,   5,  13
7,1,0.01190,0.01422,   5,  13
8,1,0.00629,0.01199,   5,  13
9,1,0.00847,0.00458,   5,  13
10,1,0.00539,0.01127,   5,  13
11,1,0.00208,0.00563,   5,  13
12,1,0.01500,0.01056,   5,  13
13,1,0.00772,0.00670,   5,  13
14,1,0.00947,0.01533,   5,  13
15,1,0.00750,0.03297,   5,  13
16,1,0.00766,0.00508,   5,  13
17,1,0.00545,0.00897,   5,  13
18,1,0.00752,0.01009,   5,  13
19,1,0.01915,0.00750,   5,  13
20,1,0.00487,0.01283,   5,  13
21,1,0.01979,0.00609,   5,  13
22,1,0.02169,0.01249,   5,  13
23,1,0.01418,0.00847,   5,  13
24,1,0.01263,0.00787,   5,  13
25,1,0.00488,0.00886,   5,  13
26,1,0.00699,0.00919,   5,  13
27,1,0.00534,0.00362,   5,  13
28,1,0.01276,0.01051,   5,  13
29,1,0.00419,0.00382,   5,  13
30,1,0.01389,0.02632,   5,  13
31,1,0.00550,0.01104,   5,  13
32,1,0.00682,0.00912,   5,  13
33,1,0.03219,0.00440,   5,  13
34,1,0.01614,0.01129,   5,  13
35,1,0.00715,0.00752,   5,  13
36,1,0.00873,0.01376,   5,  13
37,1,0.02434,0.01683,   5,  13
38,1,0.01536,0.00217,   5,  13
39,1,0.00850,0.01958,   5,  13
40,1,0.02291,0.05349,   5,  13
41,1,0.00987,0.00792,   5,  13
42,1,0.01125,0.00860,   5,  13
43,1,0.00980,0.02912,   5,  13
44,1,0.00727,0.00530,   5,  13
45,1,0.02254,0.01413,   5,  13
46,1,0.03406,0.03416,   5,  13
47,1,0.00350,0.00440,   5,  13
48,1,0.00616,0.00881,   5,  13
49,1,0.03777,0.01185,   5,  13
50,1,0.00872,0.00295,   5,  13
51,1,0.00445,0.00332,   5,  13
52,1,0.02846,0.02272,   5,  13
53,1,0.00734,0.04331,   5,  13
54,1,0.00658,0.00627,   5,  13
55,1,0.01169,0.01062,   5,  13
56,1,0.01819,0.02020,   5,  13
57,1,0.00504,0.00696,   5,  13
58,1,0.00862,0.00793,   5,  13
59,1,0.01408,0.01764,   5,  13
60,1,0.00813,0.00425,   5,  13
61,1,0.02734,0.01839,   5,  13
62,1,0.01351,0.00626,   5,  13
63,1,0.00334,0.01313,   5,  13
64,1,0.00997,0.01339,   5,  13
65,1,0.00804,0.01150,   5,  13
66,1,0.00275,0.00718,   5,  13
67,1,0.00802,0.00978,   5,  13
68,1,0.01719,0.02162,   5,  13
1,2,0.01274,0.01458,   5,  13
2,2,0.01334,0.02910,   5,  13
3,2,0.02499,0.03100,   5,  13
4,2,0.00668,0.00847,   5,  13
5,2,0.02339,0.01869,   5,  13
6,2,0.00013,0.00091,   5,  13
7,2,0.00999,0.02687,   5,  13
8,2,0.00889,0.01725,   5,  13
9,2,0.00683,0.01808,   5,  13
10,2,0.01055,0.01290,   5,  13
11,2,0.01456,0.01642,   5,  13
12,2,0.00491,0.01324,   5,  13
13,2,0.01328,0.03001,   5,  13
14,2,0.01104,0.01062,   5,  13
15,2,0.02418,0.01630,   5,  13
16,2,0.01654,0.00610,   5,  13
17,2,0.01193,0.01168,   5,  13
18,2,0.01471,0.04685,   5,  13
19,2,0.01743,0.02154,   5,  13
20,2,0.00928,0.02569,   5,  13
21,2,0.02262,0.01069,   5,  13
22,2,0.01147,0.00716,   5,  13
23,2,0.01650,0.01313,   5,  13
24,2,0.02097,0.01584,   5,  13
25,2,0.00795,0.00419,   5,  13
26,2,0.01292,0.02182,   5,  13
27,2,0.01357,0.01550,   5,  13
28,2,0.00319,0.03622,   5,  13
29,2,0.01419,0.01217,   5,  13
30,2,0.02220,0.01763,   5,  13
31,2,0.00201,0.02503,   5,  13
32,2,0.00484,0.01380,   5,  13
33,2,0.01355,0.00677,   5,  13
34,2,0.01104,0.01750,   5,  13
35,2,0.01722,0.02797,   5,  13
36,2,0.01146,0.00570,   5,  13
37,2,0.01463,0.02854,   5,  13
38,2,0.01130,0.01244,   5,  13
39,2,0.00754,0.00926,   5,  13
40,2,0.00986,0.00863,   5,  13
41,2,0.01674,0.08264,   5,  13
42,2,0.00573,0.01748,   5,  13
43,2,0.02524,0.02254,   5,  13
44,2,0.00603,0.01045,   5,  13
45,2,0.01477,0.01231,   5,  13
46,2,0.01552,0.05287,   5,  13
47,2,0.00566,0.04394,   5,  13
48,2,0.00773,0.00984,   5,  13
49,2,0.00007,0.00022,   5,  13
50,2,0.01075,0.01664,   5,  13
51,2,0.02555,0.03126,   5,  13
52,2,0.00686,0.00748,   5,  13
53,2,0.00688,0.01312,   5,  13
54,2,0.03001,0.01558,   5,  13
55,2,0.01984,0.02772,   5,  13
56,2,0.01000,0.02421,   5,  13
57,2,0.01541,0.02335,   5,  13
58,2,0.00566,0.00642,   5,  13
59,2,0.00943,0.01318,   5,  13
60,2,0.00500,0.01390,   5,  13
61,2,0.00707,0.00634,   5,  13
62,2,0.01497,0.03613,   5,  13
63,2,0.00638,0.00222,   5,  13
64,2,0.01042,0.00998,   5,  13
65,2,0.01126,0.01404,   5,  13
66,2,0.00923,0.00863,   5,  13
67,2,0.00408,0.00977,   5,  13
68,2,0.01249,0.01198,   5,  13
