1D Network settings: o=[ 1.8 12.0 ] nConns=5 nHidden=13 trials=68

run,hemisphere,global_target,local_target
1,1,0.04151,0.03039
2,1,0.00831,0.00868
3,1,0.00931,0.01659
4,1,0.02438,0.03010
5,1,0.00721,0.01531
6,1,0.00522,0.01151
7,1,0.01305,0.01548
8,1,0.00667,0.01301
9,1,0.00835,0.00430
10,1,0.00556,0.01152
11,1,0.00203,0.00573
12,1,0.01419,0.01031
13,1,0.00950,0.00974
14,1,0.00970,0.01541
15,1,0.00876,0.03195
16,1,0.00765,0.00453
17,1,0.00576,0.00892
18,1,0.00635,0.01129
19,1,0.01877,0.00727
20,1,0.00654,0.01296
21,1,0.02013,0.00619
22,1,0.02213,0.01290
23,1,0.01466,0.00866
24,1,0.01508,0.01067
25,1,0.00539,0.00866
26,1,0.00689,0.00921
27,1,0.00523,0.00332
28,1,0.01314,0.01041
29,1,0.00423,0.00387
30,1,0.01350,0.02589
31,1,0.00528,0.01180
32,1,0.00703,0.00920
33,1,0.03195,0.00454
34,1,0.01652,0.01181
35,1,0.00714,0.00798
36,1,0.00876,0.01381
37,1,0.02430,0.01678
38,1,0.01594,0.00229
39,1,0.00862,0.01976
40,1,0.02353,0.05432
41,1,0.00905,0.00770
42,1,0.01018,0.00927
43,1,0.01006,0.02856
44,1,0.00777,0.00533
45,1,0.02250,0.01433
46,1,0.03475,0.03173
47,1,0.00349,0.00431
48,1,0.00626,0.00864
49,1,0.02335,0.01446
50,1,0.00781,0.00298
51,1,0.00445,0.00323
52,1,0.02881,0.02270
53,1,0.00586,0.03892
54,1,0.00593,0.00569
55,1,0.01231,0.01105
56,1,0.01788,0.01990
57,1,0.00507,0.00688
58,1,0.00882,0.00815
59,1,0.01350,0.01568
60,1,0.00819,0.00423
61,1,0.02778,0.01760
62,1,0.01584,0.00712
63,1,0.00357,0.01268
64,1,0.01001,0.01352
65,1,0.00802,0.01154
66,1,0.00258,0.00828
67,1,0.00868,0.01042
68,1,0.01716,0.02265
1,2,0.01344,0.01437
2,2,0.01286,0.02812
3,2,0.02528,0.03021
4,2,0.00670,0.00838
5,2,0.02409,0.01962
6,2,0.00023,0.00123
7,2,0.00943,0.02913
8,2,0.00841,0.01683
9,2,0.00677,0.01860
10,2,0.01091,0.01348
11,2,0.01422,0.01600
12,2,0.00521,0.01401
13,2,0.01339,0.02677
14,2,0.01116,0.00954
15,2,0.02436,0.01592
16,2,0.01744,0.00622
17,2,0.01207,0.01189
18,2,0.01487,0.04625
19,2,0.01749,0.02270
20,2,0.00935,0.02707
21,2,0.02212,0.01034
22,2,0.01085,0.00687
23,2,0.01634,0.01355
24,2,0.02268,0.01632
25,2,0.00803,0.00421
26,2,0.01269,0.02155
27,2,0.01391,0.01554
28,2,0.00336,0.03847
29,2,0.01429,0.01204
30,2,0.02216,0.01753
31,2,0.00215,0.02414
32,2,0.00460,0.01271
33,2,0.01365,0.00689
34,2,0.01157,0.01798
35,2,0.01725,0.02741
36,2,0.01206,0.00633
37,2,0.01497,0.02987
38,2,0.01151,0.01370
39,2,0.00771,0.00942
40,2,0.00977,0.00856
41,2,0.01722,0.08267
42,2,0.00621,0.01950
43,2,0.02587,0.02336
44,2,0.00607,0.01044
45,2,0.01497,0.01237
46,2,0.01552,0.05369
47,2,0.00580,0.04698
48,2,0.00780,0.01017
49,2,0.00007,0.00021
50,2,0.01063,0.01703
51,2,0.02476,0.03174
52,2,0.00707,0.00739
53,2,0.00667,0.01276
54,2,0.03092,0.01574
55,2,0.01999,0.02807
56,2,0.01020,0.02471
57,2,0.01505,0.02276
58,2,0.00561,0.00652
59,2,0.00948,0.01285
60,2,0.00481,0.01407
61,2,0.00706,0.00661
62,2,0.01649,0.03500
63,2,0.00649,0.00221
64,2,0.01037,0.01004
65,2,0.01124,0.01509
66,2,0.00942,0.00929
67,2,0.00413,0.00978
68,2,0.01115,0.01368
