1D Network settings: o=[ 1.8 12.0 ] nConns=6 nHidden=12 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.01664,0.01115,   6,  12
2,1,0.01592,0.01045,   6,  12
3,1,0.00352,0.01815,   6,  12
4,1,0.01844,0.01800,   6,  12
5,1,0.01220,0.03829,   6,  12
6,1,0.01495,0.01478,   6,  12
7,1,0.01180,0.02151,   6,  12
8,1,0.00807,0.00670,   6,  12
9,1,0.00574,0.01200,   6,  12
10,1,0.00188,0.03000,   6,  12
11,1,0.01664,0.01304,   6,  12
12,1,0.00727,0.01057,   6,  12
13,1,0.00809,0.00756,   6,  12
14,1,0.02156,0.01498,   6,  12
15,1,0.01089,0.01373,   6,  12
16,1,0.00690,0.00911,   6,  12
17,1,0.01641,0.02401,   6,  12
18,1,0.01115,0.01241,   6,  12
19,1,0.00757,0.01995,   6,  12
20,1,0.00837,0.01500,   6,  12
21,1,0.02952,0.01427,   6,  12
22,1,0.02155,0.04430,   6,  12
23,1,0.02252,0.01128,   6,  12
24,1,0.00264,0.01246,   6,  12
25,1,0.01171,0.02361,   6,  12
26,1,0.00854,0.01020,   6,  12
27,1,0.01951,0.01395,   6,  12
28,1,0.00873,0.02515,   6,  12
29,1,0.00237,0.01461,   6,  12
30,1,0.00942,0.00854,   6,  12
31,1,0.01146,0.01515,   6,  12
32,1,0.02379,0.02887,   6,  12
33,1,0.01349,0.00888,   6,  12
34,1,0.00785,0.00884,   6,  12
35,1,0.02109,0.03400,   6,  12
36,1,0.02707,0.00254,   6,  12
37,1,0.01172,0.01156,   6,  12
38,1,0.02590,0.02647,   6,  12
39,1,0.02286,0.01782,   6,  12
40,1,0.02599,0.00471,   6,  12
41,1,0.01413,0.00895,   6,  12
42,1,0.03059,0.01837,   6,  12
43,1,0.02859,0.01536,   6,  12
44,1,0.00770,0.00490,   6,  12
45,1,0.00815,0.00578,   6,  12
46,1,0.01432,0.01619,   6,  12
47,1,0.00364,0.01237,   6,  12
48,1,0.01706,0.01935,   6,  12
49,1,0.02152,0.01546,   6,  12
50,1,0.00676,0.03070,   6,  12
51,1,0.00288,0.01099,   6,  12
52,1,0.00937,0.02500,   6,  12
53,1,0.03773,0.00850,   6,  12
54,1,0.00612,0.01277,   6,  12
55,1,0.00878,0.00233,   6,  12
56,1,0.01168,0.00894,   6,  12
57,1,0.00840,0.01313,   6,  12
58,1,0.02250,0.01125,   6,  12
59,1,0.00916,0.00728,   6,  12
60,1,0.00493,0.00415,   6,  12
61,1,0.02541,0.01806,   6,  12
62,1,0.02275,0.01453,   6,  12
63,1,0.00997,0.01003,   6,  12
64,1,0.02769,0.04737,   6,  12
65,1,0.01393,0.02152,   6,  12
66,1,0.02035,0.00709,   6,  12
67,1,0.00951,0.01425,   6,  12
68,1,0.00489,0.00308,   6,  12
1,2,0.00475,0.03183,   6,  12
2,2,0.01449,0.03201,   6,  12
3,2,0.00708,0.01691,   6,  12
4,2,0.00647,0.01384,   6,  12
5,2,0.01230,0.05350,   6,  12
6,2,0.01281,0.02931,   6,  12
7,2,0.01533,0.03979,   6,  12
8,2,0.02953,0.01330,   6,  12
9,2,0.00443,0.08562,   6,  12
10,2,0.00888,0.00691,   6,  12
11,2,0.00517,0.03134,   6,  12
12,2,0.01596,0.04085,   6,  12
13,2,0.01178,0.00686,   6,  12
14,2,0.01402,0.01512,   6,  12
15,2,0.01427,0.03913,   6,  12
16,2,0.01083,0.01105,   6,  12
17,2,0.01672,0.01826,   6,  12
18,2,0.00739,0.02328,   6,  12
19,2,0.01818,0.04640,   6,  12
20,2,0.00928,0.00753,   6,  12
21,2,0.01833,0.01349,   6,  12
22,2,0.00599,0.08360,   6,  12
23,2,0.01390,0.03437,   6,  12
24,2,0.02185,0.05964,   6,  12
25,2,0.00571,0.03007,   6,  12
26,2,0.00862,0.03117,   6,  12
27,2,0.00000,0.00000,   6,  12
28,2,0.01565,0.02926,   6,  12
29,2,0.00910,0.03476,   6,  12
30,2,0.00690,0.01580,   6,  12
31,2,0.00317,0.01615,   6,  12
32,2,0.00737,0.04132,   6,  12
33,2,0.00698,0.01748,   6,  12
34,2,0.00813,0.00507,   6,  12
35,2,0.01457,0.00930,   6,  12
36,2,0.02286,0.03121,   6,  12
37,2,0.01131,0.02016,   6,  12
38,2,0.01671,0.01236,   6,  12
39,2,0.00778,0.00569,   6,  12
40,2,0.01094,0.00755,   6,  12
41,2,0.00936,0.02918,   6,  12
42,2,0.01033,0.01743,   6,  12
43,2,0.00693,0.01742,   6,  12
44,2,0.00883,0.01185,   6,  12
45,2,0.00561,0.05568,   6,  12
46,2,0.01048,0.03291,   6,  12
47,2,0.00604,0.00837,   6,  12
48,2,0.01049,0.04477,   6,  12
49,2,0.01067,0.01012,   6,  12
50,2,0.00604,0.02233,   6,  12
51,2,0.01629,0.06729,   6,  12
52,2,0.01064,0.01152,   6,  12
53,2,0.02054,0.00569,   6,  12
54,2,0.00587,0.01022,   6,  12
55,2,0.01466,0.02088,   6,  12
56,2,0.01035,0.03523,   6,  12
57,2,0.00889,0.04339,   6,  12
58,2,0.01291,0.03131,   6,  12
59,2,0.01290,0.01844,   6,  12
60,2,0.01798,0.02896,   6,  12
61,2,0.00937,0.06620,   6,  12
62,2,0.01693,0.06948,   6,  12
63,2,0.00654,0.03955,   6,  12
64,2,0.00595,0.02359,   6,  12
65,2,0.01249,0.04094,   6,  12
66,2,0.01333,0.03102,   6,  12
67,2,0.01609,0.05737,   6,  12
68,2,0.00517,0.07346,   6,  12
