2D Network settings: o=[ 4.0 18.0 ] nConns=100 nHidden=26 trials=68

run,hemisphere,global_target,local_target
1,1,0.03687,0.03593
2,1,0.01867,0.02315
3,1,0.03581,0.02065
4,1,0.01637,0.04380
5,1,0.02321,0.01644
6,1,0.02452,0.03680
7,1,0.01839,0.02452
8,1,0.02849,0.03086
9,1,0.03163,0.02434
10,1,0.01891,0.03088
11,1,0.02581,0.01943
12,1,0.03680,0.03708
13,1,0.01989,0.03060
14,1,0.02761,0.02316
15,1,0.02462,0.02939
16,1,0.02508,0.02385
17,1,0.02191,0.01577
18,1,0.03813,0.02904
19,1,0.02789,0.05201
20,1,0.02205,0.02248
21,1,0.02325,0.02515
22,1,0.02232,0.03849
23,1,0.01511,0.05146
24,1,0.03363,0.01350
25,1,0.03801,0.01325
26,1,0.02592,0.02820
27,1,0.02500,0.02676
28,1,0.02015,0.01673
29,1,0.02236,0.03156
30,1,0.02018,0.03379
31,1,0.04112,0.02093
32,1,0.03683,0.03158
33,1,0.01937,0.01862
34,1,0.02694,0.01933
35,1,0.02661,0.02198
36,1,0.01721,0.01532
37,1,0.03567,0.02386
38,1,0.02200,0.01738
39,1,0.03703,0.01767
40,1,0.02349,0.01804
41,1,0.03929,0.02003
42,1,0.03133,0.01912
43,1,0.02031,0.03240
44,1,0.02070,0.02463
45,1,0.03603,0.02816
46,1,0.02352,0.02138
47,1,0.01274,0.03576
48,1,0.02488,0.02440
49,1,0.02628,0.02639
50,1,0.01922,0.02564
51,1,0.01854,0.04233
52,1,0.02314,0.02194
53,1,0.04296,0.01869
54,1,0.02675,0.03093
55,1,0.01957,0.02551
56,1,0.01530,0.01642
57,1,0.02173,0.02068
58,1,0.01500,0.03655
59,1,0.01982,0.02030
60,1,0.03469,0.01634
61,1,0.01874,0.02730
62,1,0.02954,0.04328
63,1,0.01939,0.02093
64,1,0.01871,0.02775
65,1,0.02134,0.03456
66,1,0.01572,0.04214
67,1,0.01622,0.01731
68,1,0.02135,0.02231
1,2,0.02150,0.03896
2,2,0.02951,0.03641
3,2,0.01531,0.02067
4,2,0.02146,0.04041
5,2,0.01206,0.03077
6,2,0.01561,0.04216
7,2,0.00607,0.08254
8,2,0.02024,0.03764
9,2,0.01958,0.02704
10,2,0.01396,0.05079
11,2,0.01584,0.02096
12,2,0.02014,0.02724
13,2,0.03163,0.02680
14,2,0.01471,0.05433
15,2,0.01808,0.04091
16,2,0.01376,0.03712
17,2,0.01651,0.02346
18,2,0.02481,0.04012
19,2,0.02616,0.04339
20,2,0.01719,0.04979
21,2,0.02263,0.03620
22,2,0.02146,0.03523
23,2,0.01060,0.06021
24,2,0.01487,0.05223
25,2,0.01323,0.02504
26,2,0.01756,0.04182
27,2,0.01323,0.02590
28,2,0.01691,0.04353
29,2,0.01103,0.04202
30,2,0.03170,0.04801
31,2,0.04238,0.02795
32,2,0.01653,0.04435
33,2,0.01718,0.02381
34,2,0.01415,0.05487
35,2,0.03397,0.03814
36,2,0.01146,0.08406
37,2,0.01203,0.05681
38,2,0.00873,0.03418
39,2,0.01554,0.01901
40,2,0.01134,0.02938
41,2,0.01350,0.02837
42,2,0.01535,0.04756
43,2,0.01936,0.04093
44,2,0.02820,0.05491
45,2,0.01658,0.06989
46,2,0.02257,0.02771
47,2,0.01987,0.05231
48,2,0.02088,0.03332
49,2,0.01603,0.03627
50,2,0.01625,0.04264
51,2,0.02005,0.03666
52,2,0.01030,0.04366
53,2,0.02398,0.04343
54,2,0.01647,0.04940
55,2,0.00578,0.04470
56,2,0.02108,0.03164
57,2,0.01683,0.03820
58,2,0.01320,0.03592
59,2,0.01698,0.05111
60,2,0.01394,0.04928
61,2,0.01386,0.04716
62,2,0.02431,0.03621
63,2,0.01912,0.02419
64,2,0.01452,0.04960
65,2,0.01928,0.03068
66,2,0.01764,0.04030
67,2,0.01370,0.03588
68,2,0.01222,0.02377
