2D Network settings: o=[ 4.0 18.0 ] nConns=75 nHidden=24 trials=68

run,hemisphere,global_target,local_target
1,1,0.03329,0.03866
2,1,0.03135,0.03637
3,1,0.02753,0.04724
4,1,0.03137,0.03534
5,1,0.02801,0.04697
6,1,0.02440,0.04754
7,1,0.03261,0.04278
8,1,0.04272,0.03135
9,1,0.03423,0.03812
10,1,0.03769,0.02936
11,1,0.02692,0.04720
12,1,0.04305,0.03537
13,1,0.03771,0.03375
14,1,0.04359,0.03092
15,1,0.02861,0.03471
16,1,0.02204,0.06081
17,1,0.03369,0.03198
18,1,0.04384,0.03238
19,1,0.02960,0.03769
20,1,0.03453,0.03129
21,1,0.03145,0.04112
22,1,0.02464,0.05738
23,1,0.02632,0.04201
24,1,0.03139,0.04201
25,1,0.03198,0.03575
26,1,0.04135,0.03675
27,1,0.04189,0.02850
28,1,0.03393,0.03572
29,1,0.04122,0.04308
30,1,0.02619,0.05226
31,1,0.04172,0.02851
32,1,0.04386,0.02630
33,1,0.03085,0.04454
34,1,0.02094,0.05054
35,1,0.04122,0.04060
36,1,0.02849,0.04190
37,1,0.03462,0.04337
38,1,0.02730,0.04290
39,1,0.03586,0.03767
40,1,0.04940,0.02487
41,1,0.04754,0.02792
42,1,0.04786,0.03995
43,1,0.03175,0.04468
44,1,0.03873,0.03126
45,1,0.02922,0.03827
46,1,0.03563,0.03361
47,1,0.03918,0.03360
48,1,0.03087,0.04224
49,1,0.04639,0.02874
50,1,0.04809,0.03746
51,1,0.03460,0.03257
52,1,0.04589,0.03276
53,1,0.04079,0.04126
54,1,0.04159,0.03110
55,1,0.03551,0.03780
56,1,0.03959,0.03444
57,1,0.04403,0.04089
58,1,0.05043,0.03856
59,1,0.03724,0.03695
60,1,0.03493,0.03417
61,1,0.03375,0.02944
62,1,0.02892,0.04414
63,1,0.03756,0.03575
64,1,0.05236,0.03493
65,1,0.03793,0.03025
66,1,0.02549,0.04372
67,1,0.02539,0.04590
68,1,0.03933,0.03006
1,2,0.05213,0.01978
2,2,0.02811,0.05048
3,2,0.01922,0.06372
4,2,0.03314,0.04248
5,2,0.01906,0.06026
6,2,0.03899,0.03912
7,2,0.03893,0.02264
8,2,0.02257,0.05282
9,2,0.01318,0.05413
10,2,0.02440,0.05658
11,2,0.03937,0.04149
12,2,0.02674,0.05789
13,2,0.02069,0.06092
14,2,0.03371,0.05451
15,2,0.03404,0.03069
16,2,0.04056,0.03229
17,2,0.04624,0.03245
18,2,0.03581,0.02903
19,2,0.02927,0.04837
20,2,0.02013,0.06370
21,2,0.02581,0.03692
22,2,0.02191,0.06765
23,2,0.03223,0.04984
24,2,0.02625,0.05079
25,2,0.02741,0.05027
26,2,0.02276,0.05269
27,2,0.02622,0.04518
28,2,0.03352,0.04249
29,2,0.02255,0.05515
30,2,0.02451,0.06527
31,2,0.02976,0.04636
32,2,0.02425,0.05215
33,2,0.03413,0.03925
34,2,0.04995,0.03036
35,2,0.02655,0.04945
36,2,0.02353,0.06421
37,2,0.03242,0.04723
38,2,0.02523,0.05309
39,2,0.03131,0.04986
40,2,0.03213,0.05597
41,2,0.03419,0.03591
42,2,0.03865,0.03101
43,2,0.02421,0.05278
44,2,0.02925,0.05123
45,2,0.03841,0.03690
46,2,0.02803,0.05061
47,2,0.03221,0.04295
48,2,0.03244,0.05985
49,2,0.03752,0.03630
50,2,0.02731,0.05192
51,2,0.03966,0.03187
52,2,0.04435,0.03780
53,2,0.02572,0.05594
54,2,0.03738,0.03467
55,2,0.01857,0.05681
56,2,0.02081,0.05655
57,2,0.02771,0.04616
58,2,0.02444,0.04905
59,2,0.02342,0.06206
60,2,0.02064,0.06089
61,2,0.03420,0.04048
62,2,0.03010,0.05007
63,2,0.03523,0.03767
64,2,0.02854,0.04084
65,2,0.02584,0.04795
66,2,0.02422,0.04903
67,2,0.03315,0.04163
68,2,0.02599,0.05381
