2D Network settings: o=[ 4.0 18.0 ] nConns=25 nHidden=28 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.03606,0.03629,  25,  28
2,1,0.05238,0.03908,  25,  28
3,1,0.02400,0.04311,  25,  28
4,1,0.02875,0.03922,  25,  28
5,1,0.04236,0.02981,  25,  28
6,1,0.04473,0.03460,  25,  28
7,1,0.02951,0.03667,  25,  28
8,1,0.02691,0.04495,  25,  28
9,1,0.04074,0.02915,  25,  28
10,1,0.04129,0.04174,  25,  28
11,1,0.03631,0.03670,  25,  28
12,1,0.02753,0.04381,  25,  28
13,1,0.02760,0.02968,  25,  28
14,1,0.03349,0.04737,  25,  28
15,1,0.04390,0.03271,  25,  28
16,1,0.03351,0.04561,  25,  28
17,1,0.04149,0.02987,  25,  28
18,1,0.02421,0.04164,  25,  28
19,1,0.03610,0.03519,  25,  28
20,1,0.03212,0.03283,  25,  28
21,1,0.03904,0.05024,  25,  28
22,1,0.03881,0.02934,  25,  28
23,1,0.02288,0.04667,  25,  28
24,1,0.04578,0.02751,  25,  28
25,1,0.03253,0.02984,  25,  28
26,1,0.02978,0.05163,  25,  28
27,1,0.03657,0.05452,  25,  28
28,1,0.02523,0.05738,  25,  28
29,1,0.04520,0.03612,  25,  28
30,1,0.03011,0.05142,  25,  28
31,1,0.04413,0.02379,  25,  28
32,1,0.04338,0.02837,  25,  28
33,1,0.02772,0.03842,  25,  28
34,1,0.03568,0.03387,  25,  28
35,1,0.04169,0.03640,  25,  28
36,1,0.04286,0.04047,  25,  28
37,1,0.03827,0.03748,  25,  28
38,1,0.03730,0.04218,  25,  28
39,1,0.04577,0.03897,  25,  28
40,1,0.04325,0.02315,  25,  28
41,1,0.03142,0.04589,  25,  28
42,1,0.06527,0.02314,  25,  28
43,1,0.04848,0.03112,  25,  28
44,1,0.04033,0.03650,  25,  28
45,1,0.03836,0.04573,  25,  28
46,1,0.04495,0.02997,  25,  28
47,1,0.04399,0.03180,  25,  28
48,1,0.05336,0.03019,  25,  28
49,1,0.03162,0.04350,  25,  28
50,1,0.02181,0.04850,  25,  28
51,1,0.02392,0.05390,  25,  28
52,1,0.04725,0.04166,  25,  28
53,1,0.04015,0.04480,  25,  28
54,1,0.03417,0.05263,  25,  28
55,1,0.03146,0.04580,  25,  28
56,1,0.04505,0.03203,  25,  28
57,1,0.02105,0.04626,  25,  28
58,1,0.04278,0.03265,  25,  28
59,1,0.03894,0.03721,  25,  28
60,1,0.03897,0.02882,  25,  28
61,1,0.02842,0.04709,  25,  28
62,1,0.02741,0.03267,  25,  28
63,1,0.04821,0.03559,  25,  28
64,1,0.03093,0.03568,  25,  28
65,1,0.02764,0.04200,  25,  28
66,1,0.02868,0.04450,  25,  28
67,1,0.03824,0.04135,  25,  28
68,1,0.03912,0.02620,  25,  28
1,2,0.02985,0.05183,  25,  28
2,2,0.02953,0.04898,  25,  28
3,2,0.03003,0.04478,  25,  28
4,2,0.02455,0.04365,  25,  28
5,2,0.02026,0.05102,  25,  28
6,2,0.02390,0.02210,  25,  28
7,2,0.02395,0.05016,  25,  28
8,2,0.02748,0.03064,  25,  28
9,2,0.04146,0.04278,  25,  28
10,2,0.03365,0.04064,  25,  28
11,2,0.01956,0.06506,  25,  28
12,2,0.03605,0.04599,  25,  28
13,2,0.03780,0.05100,  25,  28
14,2,0.04642,0.02874,  25,  28
15,2,0.02922,0.04152,  25,  28
16,2,0.03919,0.03413,  25,  28
17,2,0.04452,0.03283,  25,  28
18,2,0.01701,0.05808,  25,  28
19,2,0.02490,0.05212,  25,  28
20,2,0.02171,0.04906,  25,  28
21,2,0.02340,0.05919,  25,  28
22,2,0.03576,0.03125,  25,  28
23,2,0.03351,0.04307,  25,  28
24,2,0.02723,0.03496,  25,  28
25,2,0.02370,0.04960,  25,  28
26,2,0.04214,0.03084,  25,  28
27,2,0.02388,0.02174,  25,  28
28,2,0.02627,0.04269,  25,  28
29,2,0.02078,0.06453,  25,  28
30,2,0.03287,0.05478,  25,  28
31,2,0.03061,0.04071,  25,  28
32,2,0.01581,0.04511,  25,  28
33,2,0.03682,0.03063,  25,  28
34,2,0.02780,0.03718,  25,  28
35,2,0.03046,0.04078,  25,  28
36,2,0.02800,0.03682,  25,  28
37,2,0.02535,0.03614,  25,  28
38,2,0.02065,0.05442,  25,  28
39,2,0.03236,0.04254,  25,  28
40,2,0.03303,0.03356,  25,  28
41,2,0.02763,0.04890,  25,  28
42,2,0.02772,0.04661,  25,  28
43,2,0.04147,0.04470,  25,  28
44,2,0.01869,0.04033,  25,  28
45,2,0.02921,0.04522,  25,  28
46,2,0.02501,0.05171,  25,  28
47,2,0.03131,0.04242,  25,  28
48,2,0.02999,0.03660,  25,  28
49,2,0.03424,0.03501,  25,  28
50,2,0.02440,0.03259,  25,  28
51,2,0.02528,0.05669,  25,  28
52,2,0.02162,0.05878,  25,  28
53,2,0.03319,0.03840,  25,  28
54,2,0.01966,0.05294,  25,  28
55,2,0.03048,0.02627,  25,  28
56,2,0.01698,0.04570,  25,  28
57,2,0.03866,0.02906,  25,  28
58,2,0.03339,0.05053,  25,  28
59,2,0.03763,0.04423,  25,  28
60,2,0.03681,0.04136,  25,  28
61,2,0.03706,0.04239,  25,  28
62,2,0.03158,0.02899,  25,  28
63,2,0.03541,0.04972,  25,  28
64,2,0.02893,0.03740,  25,  28
65,2,0.02760,0.04255,  25,  28
66,2,0.01926,0.04437,  25,  28
67,2,0.01785,0.06191,  25,  28
68,2,0.02909,0.05515,  25,  28
