1D Network settings: o=[ 1.8 12.0 ] nConns=9 nHidden=13 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.02767,0.01554,   9,  13
2,1,0.00532,0.00659,   9,  13
3,1,0.01000,0.02296,   9,  13
4,1,0.00846,0.02143,   9,  13
5,1,0.00683,0.00390,   9,  13
6,1,0.00739,0.00743,   9,  13
7,1,0.01566,0.01276,   9,  13
8,1,0.01114,0.01720,   9,  13
9,1,0.00359,0.03560,   9,  13
10,1,0.00656,0.00830,   9,  13
11,1,0.00731,0.02190,   9,  13
12,1,0.01392,0.01514,   9,  13
13,1,0.01424,0.01403,   9,  13
14,1,0.01848,0.02048,   9,  13
15,1,0.01938,0.03079,   9,  13
16,1,0.01174,0.00847,   9,  13
17,1,0.01021,0.03087,   9,  13
18,1,0.01108,0.00959,   9,  13
19,1,0.00710,0.03026,   9,  13
20,1,0.00284,0.04081,   9,  13
21,1,0.00562,0.01800,   9,  13
22,1,0.00520,0.00883,   9,  13
23,1,0.01379,0.01214,   9,  13
24,1,0.00794,0.01873,   9,  13
25,1,0.01857,0.00958,   9,  13
26,1,0.01454,0.01461,   9,  13
27,1,0.02100,0.02666,   9,  13
28,1,0.02683,0.01769,   9,  13
29,1,0.00898,0.00888,   9,  13
30,1,0.00710,0.01218,   9,  13
31,1,0.00882,0.01438,   9,  13
32,1,0.01942,0.02892,   9,  13
33,1,0.00795,0.01933,   9,  13
34,1,0.00903,0.02343,   9,  13
35,1,0.01477,0.00916,   9,  13
36,1,0.01628,0.01951,   9,  13
37,1,0.00671,0.01561,   9,  13
38,1,0.02827,0.01190,   9,  13
39,1,0.01314,0.01021,   9,  13
40,1,0.02334,0.02690,   9,  13
41,1,0.00433,0.00966,   9,  13
42,1,0.01741,0.01326,   9,  13
43,1,0.00868,0.01586,   9,  13
44,1,0.01629,0.00975,   9,  13
45,1,0.00790,0.00561,   9,  13
46,1,0.00483,0.02072,   9,  13
47,1,0.00733,0.01053,   9,  13
48,1,0.04003,0.01701,   9,  13
49,1,0.01097,0.02038,   9,  13
50,1,0.00504,0.02535,   9,  13
51,1,0.01460,0.02125,   9,  13
52,1,0.00781,0.00308,   9,  13
53,1,0.00429,0.00738,   9,  13
54,1,0.00254,0.01359,   9,  13
55,1,0.01417,0.00781,   9,  13
56,1,0.00782,0.00632,   9,  13
57,1,0.00835,0.01615,   9,  13
58,1,0.01458,0.01211,   9,  13
59,1,0.01084,0.02311,   9,  13
60,1,0.00815,0.01327,   9,  13
61,1,0.00983,0.02786,   9,  13
62,1,0.00552,0.00972,   9,  13
63,1,0.00722,0.00476,   9,  13
64,1,0.00787,0.00653,   9,  13
65,1,0.01693,0.01759,   9,  13
66,1,0.02541,0.02654,   9,  13
67,1,0.01902,0.03235,   9,  13
68,1,0.00764,0.00850,   9,  13
1,2,0.00684,0.00997,   9,  13
2,2,0.00388,0.02278,   9,  13
3,2,0.00306,0.02574,   9,  13
4,2,0.00678,0.00681,   9,  13
5,2,0.00579,0.02416,   9,  13
6,2,0.00967,0.00858,   9,  13
7,2,0.00221,0.05167,   9,  13
8,2,0.00465,0.00883,   9,  13
9,2,0.01939,0.02732,   9,  13
10,2,0.00844,0.02857,   9,  13
11,2,0.01228,0.03643,   9,  13
12,2,0.00453,0.00663,   9,  13
13,2,0.01162,0.06638,   9,  13
14,2,0.00416,0.01811,   9,  13
15,2,0.00667,0.01381,   9,  13
16,2,0.01070,0.01297,   9,  13
17,2,0.00729,0.01133,   9,  13
18,2,0.00653,0.00705,   9,  13
19,2,0.01075,0.00830,   9,  13
20,2,0.00917,0.02948,   9,  13
21,2,0.00572,0.00465,   9,  13
22,2,0.01090,0.01949,   9,  13
23,2,0.01085,0.01594,   9,  13
24,2,0.00490,0.01029,   9,  13
25,2,0.00624,0.00639,   9,  13
26,2,0.00525,0.01344,   9,  13
27,2,0.00408,0.01295,   9,  13
28,2,0.00950,0.02148,   9,  13
29,2,0.00508,0.02935,   9,  13
30,2,0.01298,0.05384,   9,  13
31,2,0.00390,0.02000,   9,  13
32,2,0.01931,0.02575,   9,  13
33,2,0.00811,0.02770,   9,  13
34,2,0.00969,0.01296,   9,  13
35,2,0.00527,0.04154,   9,  13
36,2,0.00311,0.02729,   9,  13
37,2,0.01461,0.01986,   9,  13
38,2,0.00501,0.00420,   9,  13
39,2,0.01079,0.03353,   9,  13
40,2,0.01293,0.01226,   9,  13
41,2,0.01505,0.07504,   9,  13
42,2,0.00699,0.02099,   9,  13
43,2,0.00579,0.02765,   9,  13
44,2,0.00826,0.02261,   9,  13
45,2,0.01583,0.02053,   9,  13
46,2,0.01086,0.06402,   9,  13
47,2,0.00494,0.01416,   9,  13
48,2,0.01308,0.02418,   9,  13
49,2,0.00637,0.05862,   9,  13
50,2,0.00540,0.01501,   9,  13
51,2,0.00367,0.01779,   9,  13
52,2,0.00390,0.00586,   9,  13
53,2,0.00306,0.02135,   9,  13
54,2,0.00955,0.02185,   9,  13
55,2,0.00513,0.03036,   9,  13
56,2,0.00293,0.03911,   9,  13
57,2,0.00718,0.02037,   9,  13
58,2,0.01463,0.02366,   9,  13
59,2,0.01357,0.01149,   9,  13
60,2,0.00554,0.05636,   9,  13
61,2,0.00618,0.00795,   9,  13
62,2,0.01176,0.02216,   9,  13
63,2,0.00293,0.00984,   9,  13
64,2,0.01282,0.03161,   9,  13
65,2,0.01102,0.00708,   9,  13
66,2,0.01324,0.01053,   9,  13
67,2,0.01597,0.02602,   9,  13
68,2,0.00429,0.00667,   9,  13
