2D Network settings: o=[ 4.0 18.0 ] nConns=60 nHidden=24 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.03664,0.04062,  60,  24
2,1,0.04670,0.03613,  60,  24
3,1,0.02615,0.04181,  60,  24
4,1,0.05546,0.03678,  60,  24
5,1,0.03741,0.02097,  60,  24
6,1,0.03509,0.03491,  60,  24
7,1,0.04230,0.02353,  60,  24
8,1,0.04229,0.02634,  60,  24
9,1,0.03475,0.02886,  60,  24
10,1,0.03037,0.04623,  60,  24
11,1,0.04158,0.04278,  60,  24
12,1,0.04006,0.05273,  60,  24
13,1,0.03356,0.03967,  60,  24
14,1,0.04053,0.03621,  60,  24
15,1,0.03614,0.03649,  60,  24
16,1,0.03481,0.03411,  60,  24
17,1,0.03276,0.03626,  60,  24
18,1,0.02569,0.04321,  60,  24
19,1,0.03655,0.04541,  60,  24
20,1,0.02230,0.03277,  60,  24
21,1,0.02237,0.03321,  60,  24
22,1,0.04473,0.03733,  60,  24
23,1,0.02306,0.03728,  60,  24
24,1,0.04616,0.03600,  60,  24
25,1,0.03188,0.03076,  60,  24
26,1,0.02530,0.03364,  60,  24
27,1,0.03037,0.02046,  60,  24
28,1,0.02515,0.03689,  60,  24
29,1,0.04150,0.03188,  60,  24
30,1,0.04398,0.04020,  60,  24
31,1,0.02334,0.03540,  60,  24
32,1,0.03579,0.05097,  60,  24
33,1,0.04392,0.04277,  60,  24
34,1,0.03820,0.03976,  60,  24
35,1,0.03606,0.03889,  60,  24
36,1,0.03463,0.04655,  60,  24
37,1,0.04712,0.02421,  60,  24
38,1,0.03649,0.04611,  60,  24
39,1,0.04285,0.04297,  60,  24
40,1,0.04668,0.03875,  60,  24
41,1,0.04593,0.03500,  60,  24
42,1,0.02753,0.06354,  60,  24
43,1,0.04508,0.03237,  60,  24
44,1,0.03845,0.03711,  60,  24
45,1,0.01785,0.05072,  60,  24
46,1,0.02910,0.04669,  60,  24
47,1,0.04785,0.03939,  60,  24
48,1,0.03426,0.03121,  60,  24
49,1,0.04380,0.02615,  60,  24
50,1,0.02669,0.04369,  60,  24
51,1,0.03893,0.03291,  60,  24
52,1,0.04036,0.03791,  60,  24
53,1,0.04626,0.03034,  60,  24
54,1,0.04086,0.03915,  60,  24
55,1,0.03925,0.03325,  60,  24
56,1,0.05194,0.04358,  60,  24
57,1,0.03598,0.04280,  60,  24
58,1,0.04376,0.04590,  60,  24
59,1,0.03354,0.03013,  60,  24
60,1,0.04994,0.04546,  60,  24
61,1,0.05516,0.03105,  60,  24
62,1,0.03834,0.03136,  60,  24
63,1,0.01849,0.04583,  60,  24
64,1,0.04829,0.03220,  60,  24
65,1,0.03105,0.05639,  60,  24
66,1,0.04429,0.02697,  60,  24
67,1,0.02609,0.05352,  60,  24
68,1,0.04001,0.04167,  60,  24
1,2,0.04129,0.03428,  60,  24
2,2,0.03108,0.04219,  60,  24
3,2,0.02721,0.03982,  60,  24
4,2,0.03823,0.01991,  60,  24
5,2,0.04580,0.03675,  60,  24
6,2,0.02823,0.04205,  60,  24
7,2,0.02618,0.04072,  60,  24
8,2,0.03236,0.02916,  60,  24
9,2,0.03359,0.03712,  60,  24
10,2,0.03882,0.02748,  60,  24
11,2,0.03689,0.05073,  60,  24
12,2,0.03194,0.03047,  60,  24
13,2,0.03875,0.02954,  60,  24
14,2,0.02522,0.03597,  60,  24
15,2,0.02986,0.02861,  60,  24
16,2,0.03292,0.03902,  60,  24
17,2,0.02793,0.04130,  60,  24
18,2,0.02349,0.05013,  60,  24
19,2,0.04311,0.03722,  60,  24
20,2,0.02294,0.03519,  60,  24
21,2,0.03022,0.03725,  60,  24
22,2,0.01511,0.02437,  60,  24
23,2,0.02064,0.05090,  60,  24
24,2,0.03109,0.04387,  60,  24
25,2,0.03139,0.04924,  60,  24
26,2,0.03954,0.02976,  60,  24
27,2,0.02786,0.04749,  60,  24
28,2,0.03545,0.04312,  60,  24
29,2,0.02622,0.02477,  60,  24
30,2,0.01790,0.04104,  60,  24
31,2,0.04683,0.02970,  60,  24
32,2,0.02746,0.04662,  60,  24
33,2,0.02485,0.04163,  60,  24
34,2,0.02684,0.05425,  60,  24
35,2,0.02197,0.03793,  60,  24
36,2,0.03112,0.04265,  60,  24
37,2,0.01322,0.02426,  60,  24
38,2,0.03668,0.01650,  60,  24
39,2,0.03473,0.02512,  60,  24
40,2,0.02822,0.04379,  60,  24
41,2,0.04212,0.03668,  60,  24
42,2,0.02969,0.05102,  60,  24
43,2,0.02853,0.02106,  60,  24
44,2,0.03497,0.03987,  60,  24
45,2,0.04477,0.02927,  60,  24
46,2,0.03807,0.03781,  60,  24
47,2,0.02577,0.04418,  60,  24
48,2,0.03470,0.03839,  60,  24
49,2,0.03130,0.05368,  60,  24
50,2,0.02651,0.04158,  60,  24
51,2,0.04302,0.04373,  60,  24
52,2,0.03197,0.02053,  60,  24
53,2,0.03039,0.03920,  60,  24
54,2,0.03934,0.04781,  60,  24
55,2,0.03173,0.03928,  60,  24
56,2,0.03128,0.03037,  60,  24
57,2,0.04254,0.04443,  60,  24
58,2,0.03385,0.01675,  60,  24
59,2,0.02475,0.03739,  60,  24
60,2,0.03163,0.04735,  60,  24
61,2,0.03146,0.01554,  60,  24
62,2,0.03059,0.04070,  60,  24
63,2,0.02859,0.02479,  60,  24
64,2,0.03828,0.04178,  60,  24
65,2,0.02300,0.00944,  60,  24
66,2,0.04348,0.02995,  60,  24
67,2,0.03814,0.02837,  60,  24
68,2,0.02155,0.03832,  60,  24
