1D Network settings: o=[ 1.8 12.0 ] nConns=6 nHidden=15 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.01230,0.01143,   6,  15
2,1,0.00616,0.00483,   6,  15
3,1,0.00797,0.00647,   6,  15
4,1,0.00725,0.00202,   6,  15
5,1,0.01503,0.00841,   6,  15
6,1,0.01800,0.01258,   6,  15
7,1,0.03893,0.01433,   6,  15
8,1,0.00550,0.00468,   6,  15
9,1,0.01299,0.01462,   6,  15
10,1,0.01308,0.00775,   6,  15
11,1,0.00790,0.01168,   6,  15
12,1,0.02654,0.02539,   6,  15
13,1,0.02324,0.00394,   6,  15
14,1,0.00776,0.00502,   6,  15
15,1,0.00894,0.00704,   6,  15
16,1,0.00468,0.00320,   6,  15
17,1,0.00597,0.00923,   6,  15
18,1,0.03137,0.01878,   6,  15
19,1,0.01793,0.01336,   6,  15
20,1,0.00543,0.00596,   6,  15
21,1,0.00783,0.01347,   6,  15
22,1,0.00503,0.00458,   6,  15
23,1,0.00214,0.00979,   6,  15
24,1,0.01402,0.03147,   6,  15
25,1,0.00532,0.01122,   6,  15
26,1,0.01001,0.01017,   6,  15
27,1,0.00788,0.01438,   6,  15
28,1,0.00271,0.01053,   6,  15
29,1,0.00714,0.01169,   6,  15
30,1,0.01218,0.01467,   6,  15
31,1,0.02560,0.03424,   6,  15
32,1,0.02082,0.01104,   6,  15
33,1,0.00611,0.00481,   6,  15
34,1,0.01434,0.01093,   6,  15
35,1,0.00574,0.00543,   6,  15
36,1,0.00478,0.01460,   6,  15
37,1,0.02125,0.02125,   6,  15
38,1,0.01015,0.00397,   6,  15
39,1,0.01497,0.02166,   6,  15
40,1,0.02539,0.01251,   6,  15
41,1,0.00458,0.01181,   6,  15
42,1,0.00806,0.00822,   6,  15
43,1,0.00903,0.00795,   6,  15
44,1,0.00330,0.00687,   6,  15
45,1,0.01250,0.01600,   6,  15
46,1,0.00697,0.00498,   6,  15
47,1,0.00789,0.01883,   6,  15
48,1,0.01178,0.00486,   6,  15
49,1,0.00856,0.02030,   6,  15
50,1,0.02500,0.02792,   6,  15
51,1,0.01342,0.01077,   6,  15
52,1,0.00954,0.01348,   6,  15
53,1,0.00461,0.01181,   6,  15
54,1,0.00417,0.00913,   6,  15
55,1,0.00430,0.00467,   6,  15
56,1,0.00827,0.00472,   6,  15
57,1,0.01014,0.00959,   6,  15
58,1,0.00998,0.01347,   6,  15
59,1,0.00413,0.00434,   6,  15
60,1,0.03058,0.02832,   6,  15
61,1,0.01584,0.00986,   6,  15
62,1,0.00947,0.01390,   6,  15
63,1,0.00391,0.00572,   6,  15
64,1,0.01083,0.02294,   6,  15
65,1,0.01543,0.00767,   6,  15
66,1,0.00343,0.00971,   6,  15
67,1,0.01147,0.00912,   6,  15
68,1,0.01746,0.01091,   6,  15
1,2,0.00822,0.00775,   6,  15
2,2,0.00426,0.01138,   6,  15
3,2,0.01822,0.02440,   6,  15
4,2,0.00936,0.00987,   6,  15
5,2,0.00170,0.02514,   6,  15
6,2,0.00314,0.00518,   6,  15
7,2,0.02045,0.03508,   6,  15
8,2,0.00618,0.01377,   6,  15
9,2,0.00891,0.01786,   6,  15
10,2,0.00517,0.00240,   6,  15
11,2,0.00647,0.00706,   6,  15
12,2,0.01177,0.03929,   6,  15
13,2,0.00958,0.00380,   6,  15
14,2,0.01355,0.03799,   6,  15
15,2,0.00657,0.00899,   6,  15
16,2,0.00463,0.02265,   6,  15
17,2,0.00369,0.00733,   6,  15
18,2,0.00249,0.04947,   6,  15
19,2,0.00329,0.00581,   6,  15
20,2,0.01054,0.00825,   6,  15
21,2,0.00544,0.01243,   6,  15
22,2,0.02260,0.03216,   6,  15
23,2,0.00798,0.01846,   6,  15
24,2,0.02251,0.01742,   6,  15
25,2,0.00925,0.02713,   6,  15
26,2,0.00287,0.00448,   6,  15
27,2,0.00673,0.00478,   6,  15
28,2,0.00676,0.03147,   6,  15
29,2,0.00842,0.00735,   6,  15
30,2,0.00646,0.00585,   6,  15
31,2,0.00886,0.01332,   6,  15
32,2,0.00606,0.00552,   6,  15
33,2,0.00418,0.01937,   6,  15
34,2,0.00906,0.01401,   6,  15
35,2,0.00562,0.01507,   6,  15
36,2,0.00632,0.00916,   6,  15
37,2,0.01055,0.05126,   6,  15
38,2,0.00403,0.00939,   6,  15
39,2,0.00680,0.00830,   6,  15
40,2,0.00693,0.01269,   6,  15
41,2,0.00495,0.00691,   6,  15
42,2,0.01553,0.01376,   6,  15
43,2,0.00819,0.01071,   6,  15
44,2,0.01053,0.01117,   6,  15
45,2,0.00441,0.01296,   6,  15
46,2,0.01587,0.02978,   6,  15
47,2,0.00463,0.00230,   6,  15
48,2,0.00296,0.00665,   6,  15
49,2,0.00638,0.03275,   6,  15
50,2,0.01640,0.03333,   6,  15
51,2,0.00428,0.00681,   6,  15
52,2,0.01556,0.01100,   6,  15
53,2,0.00608,0.03331,   6,  15
54,2,0.00411,0.01405,   6,  15
55,2,0.01343,0.03792,   6,  15
56,2,0.00704,0.02784,   6,  15
57,2,0.00838,0.02565,   6,  15
58,2,0.00906,0.00635,   6,  15
59,2,0.00871,0.01482,   6,  15
60,2,0.00561,0.00387,   6,  15
61,2,0.00250,0.00542,   6,  15
62,2,0.00791,0.01465,   6,  15
63,2,0.00771,0.00578,   6,  15
64,2,0.01840,0.01353,   6,  15
65,2,0.00293,0.00711,   6,  15
66,2,0.02636,0.03516,   6,  15
67,2,0.00381,0.00912,   6,  15
68,2,0.02064,0.01301,   6,  15
