2D Network settings: o=[ 4.0 18.0 ] nConns=60 nHidden=26 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.04771,0.02827,  60,  26
2,1,0.03755,0.02846,  60,  26
3,1,0.03623,0.04951,  60,  26
4,1,0.03554,0.03401,  60,  26
5,1,0.04406,0.04447,  60,  26
6,1,0.03358,0.03645,  60,  26
7,1,0.03481,0.03395,  60,  26
8,1,0.03858,0.03293,  60,  26
9,1,0.03339,0.03453,  60,  26
10,1,0.02266,0.06138,  60,  26
11,1,0.03647,0.03630,  60,  26
12,1,0.04561,0.03459,  60,  26
13,1,0.02645,0.03800,  60,  26
14,1,0.02829,0.05343,  60,  26
15,1,0.03902,0.03017,  60,  26
16,1,0.03158,0.03889,  60,  26
17,1,0.04133,0.02874,  60,  26
18,1,0.03407,0.03514,  60,  26
19,1,0.04925,0.02782,  60,  26
20,1,0.03868,0.03272,  60,  26
21,1,0.03209,0.03999,  60,  26
22,1,0.04647,0.03004,  60,  26
23,1,0.04460,0.02427,  60,  26
24,1,0.03397,0.03846,  60,  26
25,1,0.04726,0.02309,  60,  26
26,1,0.03860,0.03129,  60,  26
27,1,0.03300,0.03887,  60,  26
28,1,0.03538,0.03060,  60,  26
29,1,0.04154,0.03080,  60,  26
30,1,0.04858,0.03737,  60,  26
31,1,0.05242,0.02660,  60,  26
32,1,0.03078,0.03946,  60,  26
33,1,0.03375,0.03986,  60,  26
34,1,0.03086,0.04306,  60,  26
35,1,0.03618,0.05034,  60,  26
36,1,0.03703,0.04331,  60,  26
37,1,0.03076,0.03597,  60,  26
38,1,0.03392,0.03150,  60,  26
39,1,0.02298,0.05180,  60,  26
40,1,0.03754,0.03638,  60,  26
41,1,0.03279,0.03219,  60,  26
42,1,0.03343,0.04291,  60,  26
43,1,0.03134,0.04476,  60,  26
44,1,0.03251,0.03594,  60,  26
45,1,0.03323,0.03304,  60,  26
46,1,0.03016,0.03703,  60,  26
47,1,0.03402,0.03152,  60,  26
48,1,0.02663,0.04325,  60,  26
49,1,0.03557,0.03223,  60,  26
50,1,0.03855,0.04544,  60,  26
51,1,0.02888,0.03292,  60,  26
52,1,0.03422,0.03360,  60,  26
53,1,0.03529,0.03040,  60,  26
54,1,0.03285,0.03590,  60,  26
55,1,0.03978,0.03122,  60,  26
56,1,0.03278,0.04384,  60,  26
57,1,0.02685,0.03680,  60,  26
58,1,0.03604,0.03218,  60,  26
59,1,0.03966,0.03891,  60,  26
60,1,0.03256,0.03345,  60,  26
61,1,0.03529,0.03429,  60,  26
62,1,0.03532,0.03791,  60,  26
63,1,0.03535,0.03189,  60,  26
64,1,0.03318,0.02997,  60,  26
65,1,0.04296,0.02950,  60,  26
66,1,0.03853,0.02951,  60,  26
67,1,0.03490,0.02601,  60,  26
68,1,0.02269,0.04504,  60,  26
1,2,0.02721,0.04380,  60,  26
2,2,0.02854,0.05320,  60,  26
3,2,0.02466,0.04470,  60,  26
4,2,0.02765,0.04895,  60,  26
5,2,0.02880,0.05836,  60,  26
6,2,0.02477,0.04442,  60,  26
7,2,0.03024,0.04669,  60,  26
8,2,0.03523,0.04387,  60,  26
9,2,0.02399,0.05236,  60,  26
10,2,0.01296,0.07429,  60,  26
11,2,0.03225,0.04509,  60,  26
12,2,0.01999,0.04649,  60,  26
13,2,0.01905,0.06507,  60,  26
14,2,0.02979,0.04566,  60,  26
15,2,0.03232,0.04065,  60,  26
16,2,0.04069,0.03407,  60,  26
17,2,0.02418,0.05435,  60,  26
18,2,0.02997,0.05302,  60,  26
19,2,0.02961,0.05452,  60,  26
20,2,0.02918,0.05375,  60,  26
21,2,0.01927,0.05388,  60,  26
22,2,0.02880,0.04835,  60,  26
23,2,0.03633,0.03731,  60,  26
24,2,0.03267,0.04764,  60,  26
25,2,0.03119,0.03928,  60,  26
26,2,0.02557,0.05386,  60,  26
27,2,0.02949,0.04395,  60,  26
28,2,0.03254,0.04169,  60,  26
29,2,0.02607,0.05933,  60,  26
30,2,0.02082,0.05072,  60,  26
31,2,0.03071,0.05159,  60,  26
32,2,0.02231,0.05474,  60,  26
33,2,0.02693,0.04531,  60,  26
34,2,0.03110,0.05775,  60,  26
35,2,0.02599,0.06046,  60,  26
36,2,0.02920,0.04845,  60,  26
37,2,0.02537,0.04863,  60,  26
38,2,0.03533,0.04093,  60,  26
39,2,0.03341,0.04255,  60,  26
40,2,0.01580,0.05776,  60,  26
41,2,0.03065,0.04438,  60,  26
42,2,0.04281,0.03198,  60,  26
43,2,0.02620,0.05947,  60,  26
44,2,0.04340,0.03646,  60,  26
45,2,0.02559,0.05546,  60,  26
46,2,0.02846,0.05503,  60,  26
47,2,0.02091,0.04591,  60,  26
48,2,0.03379,0.03883,  60,  26
49,2,0.02661,0.05097,  60,  26
50,2,0.02729,0.04815,  60,  26
51,2,0.03010,0.03987,  60,  26
52,2,0.02204,0.05543,  60,  26
53,2,0.02693,0.05684,  60,  26
54,2,0.02116,0.06827,  60,  26
55,2,0.03661,0.03743,  60,  26
56,2,0.03820,0.03942,  60,  26
57,2,0.02010,0.04154,  60,  26
58,2,0.02200,0.06006,  60,  26
59,2,0.01981,0.06901,  60,  26
60,2,0.03096,0.05097,  60,  26
61,2,0.02043,0.05523,  60,  26
62,2,0.04769,0.03174,  60,  26
63,2,0.02952,0.04882,  60,  26
64,2,0.04055,0.04109,  60,  26
65,2,0.02647,0.04513,  60,  26
66,2,0.03098,0.03922,  60,  26
67,2,0.01928,0.06975,  60,  26
68,2,0.01822,0.05943,  60,  26
