1D Network settings: o=[ 1.8 12.0 ] nConns=5 nHidden=12 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.01302,0.00571,   5,  12
2,1,0.01916,0.01125,   5,  12
3,1,0.01449,0.01527,   5,  12
4,1,0.00846,0.01242,   5,  12
5,1,0.00689,0.01437,   5,  12
6,1,0.02201,0.03509,   5,  12
7,1,0.00942,0.02994,   5,  12
8,1,0.01761,0.00595,   5,  12
9,1,0.01900,0.02022,   5,  12
10,1,0.00527,0.00489,   5,  12
11,1,0.01190,0.01372,   5,  12
12,1,0.00375,0.01226,   5,  12
13,1,0.01473,0.01985,   5,  12
14,1,0.00813,0.01676,   5,  12
15,1,0.00324,0.01703,   5,  12
16,1,0.00564,0.00414,   5,  12
17,1,0.00825,0.00957,   5,  12
18,1,0.00369,0.01092,   5,  12
19,1,0.01325,0.01366,   5,  12
20,1,0.00995,0.01227,   5,  12
21,1,0.01153,0.00401,   5,  12
22,1,0.00648,0.00638,   5,  12
23,1,0.00816,0.00988,   5,  12
24,1,0.00851,0.00814,   5,  12
25,1,0.01524,0.00253,   5,  12
26,1,0.01546,0.02347,   5,  12
27,1,0.00443,0.01451,   5,  12
28,1,0.01491,0.00992,   5,  12
29,1,0.01222,0.00863,   5,  12
30,1,0.01052,0.01330,   5,  12
31,1,0.01922,0.01395,   5,  12
32,1,0.01588,0.01167,   5,  12
33,1,0.02544,0.01307,   5,  12
34,1,0.00565,0.00727,   5,  12
35,1,0.00545,0.00640,   5,  12
36,1,0.02056,0.01109,   5,  12
37,1,0.00927,0.00616,   5,  12
38,1,0.00553,0.00672,   5,  12
39,1,0.00696,0.02724,   5,  12
40,1,0.02121,0.01092,   5,  12
41,1,0.00244,0.00867,   5,  12
42,1,0.00143,0.01038,   5,  12
43,1,0.01832,0.00511,   5,  12
44,1,0.00734,0.00867,   5,  12
45,1,0.01183,0.00981,   5,  12
46,1,0.01401,0.01927,   5,  12
47,1,0.00838,0.02673,   5,  12
48,1,0.01113,0.00265,   5,  12
49,1,0.00210,0.01389,   5,  12
50,1,0.00572,0.00515,   5,  12
51,1,0.01334,0.00838,   5,  12
52,1,0.01137,0.03227,   5,  12
53,1,0.01223,0.00882,   5,  12
54,1,0.01167,0.01757,   5,  12
55,1,0.02692,0.00219,   5,  12
56,1,0.02640,0.04488,   5,  12
57,1,0.00982,0.01527,   5,  12
58,1,0.00718,0.01757,   5,  12
59,1,0.01438,0.00676,   5,  12
60,1,0.00632,0.01743,   5,  12
61,1,0.01764,0.01898,   5,  12
62,1,0.01530,0.01947,   5,  12
63,1,0.02544,0.01539,   5,  12
64,1,0.00869,0.01347,   5,  12
65,1,0.00670,0.00605,   5,  12
66,1,0.03059,0.00726,   5,  12
67,1,0.02765,0.02810,   5,  12
68,1,0.00868,0.00426,   5,  12
1,2,0.01054,0.02382,   5,  12
2,2,0.01625,0.02654,   5,  12
3,2,0.01202,0.01929,   5,  12
4,2,0.01075,0.02573,   5,  12
5,2,0.00892,0.01309,   5,  12
6,2,0.01040,0.03253,   5,  12
7,2,0.02129,0.04135,   5,  12
8,2,0.01148,0.01625,   5,  12
9,2,0.01053,0.05324,   5,  12
10,2,0.01572,0.01817,   5,  12
11,2,0.01080,0.01151,   5,  12
12,2,0.01065,0.02829,   5,  12
13,2,0.01224,0.01320,   5,  12
14,2,0.01461,0.06834,   5,  12
15,2,0.00612,0.01515,   5,  12
16,2,0.00671,0.02333,   5,  12
17,2,0.01425,0.03428,   5,  12
18,2,0.01197,0.00532,   5,  12
19,2,0.00215,0.02291,   5,  12
20,2,0.01152,0.02926,   5,  12
21,2,0.03237,0.01815,   5,  12
22,2,0.02128,0.04471,   5,  12
23,2,0.00899,0.01841,   5,  12
24,2,0.01956,0.02899,   5,  12
25,2,0.00697,0.01635,   5,  12
26,2,0.01520,0.05450,   5,  12
27,2,0.00000,0.00000,   5,  12
28,2,0.02885,0.01531,   5,  12
29,2,0.01335,0.03650,   5,  12
30,2,0.03834,0.03732,   5,  12
31,2,0.01152,0.02071,   5,  12
32,2,0.00818,0.01265,   5,  12
33,2,0.01416,0.04477,   5,  12
34,2,0.00971,0.00749,   5,  12
35,2,0.01515,0.04794,   5,  12
36,2,0.02200,0.02963,   5,  12
37,2,0.02490,0.01477,   5,  12
38,2,0.01348,0.00749,   5,  12
39,2,0.01253,0.01974,   5,  12
40,2,0.01213,0.04634,   5,  12
41,2,0.00991,0.00650,   5,  12
42,2,0.01421,0.04389,   5,  12
43,2,0.00845,0.01029,   5,  12
44,2,0.02226,0.02949,   5,  12
45,2,0.02048,0.02610,   5,  12
46,2,0.01441,0.02299,   5,  12
47,2,0.01161,0.02061,   5,  12
48,2,0.00453,0.00545,   5,  12
49,2,0.00506,0.04464,   5,  12
50,2,0.01828,0.01730,   5,  12
51,2,0.01566,0.01408,   5,  12
52,2,0.00869,0.02716,   5,  12
53,2,0.01069,0.00805,   5,  12
54,2,0.01133,0.04729,   5,  12
55,2,0.00832,0.00458,   5,  12
56,2,0.01249,0.01738,   5,  12
57,2,0.00979,0.01748,   5,  12
58,2,0.00431,0.02444,   5,  12
59,2,0.00691,0.09808,   5,  12
60,2,0.00478,0.00467,   5,  12
61,2,0.01735,0.00799,   5,  12
62,2,0.00875,0.01856,   5,  12
63,2,0.00804,0.04250,   5,  12
64,2,0.01848,0.03125,   5,  12
65,2,0.00343,0.05304,   5,  12
66,2,0.02025,0.05521,   5,  12
67,2,0.00675,0.00619,   5,  12
68,2,0.00458,0.03860,   5,  12
