1D Network settings: o=[ 1.8 12.0 ] nConns=5 nHidden=15 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.00659,0.00435,   5,  15
2,1,0.01215,0.01009,   5,  15
3,1,0.00981,0.00602,   5,  15
4,1,0.01050,0.00570,   5,  15
5,1,0.00987,0.01154,   5,  15
6,1,0.00661,0.00387,   5,  15
7,1,0.00569,0.01365,   5,  15
8,1,0.00685,0.00731,   5,  15
9,1,0.01425,0.00555,   5,  15
10,1,0.00652,0.00256,   5,  15
11,1,0.00417,0.01816,   5,  15
12,1,0.00720,0.00368,   5,  15
13,1,0.01068,0.00613,   5,  15
14,1,0.01219,0.00486,   5,  15
15,1,0.01062,0.02595,   5,  15
16,1,0.00392,0.00528,   5,  15
17,1,0.01227,0.01440,   5,  15
18,1,0.01717,0.01194,   5,  15
19,1,0.00692,0.01327,   5,  15
20,1,0.01322,0.01774,   5,  15
21,1,0.00985,0.00369,   5,  15
22,1,0.00465,0.01002,   5,  15
23,1,0.01102,0.00482,   5,  15
24,1,0.00508,0.01209,   5,  15
25,1,0.00806,0.00854,   5,  15
26,1,0.01711,0.01105,   5,  15
27,1,0.00916,0.00919,   5,  15
28,1,0.00864,0.01014,   5,  15
29,1,0.00788,0.00987,   5,  15
30,1,0.01213,0.00588,   5,  15
31,1,0.01074,0.01198,   5,  15
32,1,0.00264,0.01632,   5,  15
33,1,0.00441,0.00339,   5,  15
34,1,0.01276,0.01182,   5,  15
35,1,0.00946,0.01043,   5,  15
36,1,0.00370,0.00910,   5,  15
37,1,0.01113,0.01175,   5,  15
38,1,0.00965,0.00900,   5,  15
39,1,0.01026,0.00374,   5,  15
40,1,0.01351,0.00794,   5,  15
41,1,0.01532,0.01160,   5,  15
42,1,0.00541,0.00563,   5,  15
43,1,0.01273,0.00817,   5,  15
44,1,0.01192,0.00693,   5,  15
45,1,0.01206,0.01024,   5,  15
46,1,0.02239,0.01243,   5,  15
47,1,0.00343,0.00667,   5,  15
48,1,0.00563,0.00919,   5,  15
49,1,0.01285,0.01163,   5,  15
50,1,0.00791,0.02465,   5,  15
51,1,0.01080,0.03173,   5,  15
52,1,0.00606,0.01011,   5,  15
53,1,0.00616,0.01096,   5,  15
54,1,0.00447,0.00358,   5,  15
55,1,0.00465,0.00581,   5,  15
56,1,0.00893,0.01518,   5,  15
57,1,0.00421,0.00731,   5,  15
58,1,0.01218,0.00465,   5,  15
59,1,0.00988,0.01817,   5,  15
60,1,0.00666,0.00604,   5,  15
61,1,0.01512,0.00263,   5,  15
62,1,0.03443,0.02148,   5,  15
63,1,0.00692,0.01274,   5,  15
64,1,0.00361,0.00692,   5,  15
65,1,0.00716,0.00551,   5,  15
66,1,0.00548,0.00568,   5,  15
67,1,0.01927,0.01181,   5,  15
68,1,0.00432,0.00488,   5,  15
1,2,0.00888,0.00727,   5,  15
2,2,0.00851,0.00816,   5,  15
3,2,0.00512,0.00626,   5,  15
4,2,0.00485,0.00783,   5,  15
5,2,0.00692,0.00590,   5,  15
6,2,0.00992,0.01540,   5,  15
7,2,0.00928,0.00705,   5,  15
8,2,0.00973,0.00626,   5,  15
9,2,0.00788,0.01321,   5,  15
10,2,0.01297,0.01072,   5,  15
11,2,0.00930,0.01081,   5,  15
12,2,0.00794,0.01632,   5,  15
13,2,0.00469,0.00237,   5,  15
14,2,0.01133,0.01938,   5,  15
15,2,0.00694,0.00859,   5,  15
16,2,0.00847,0.00414,   5,  15
17,2,0.00884,0.01099,   5,  15
18,2,0.01331,0.01660,   5,  15
19,2,0.00241,0.00863,   5,  15
20,2,0.00535,0.00531,   5,  15
21,2,0.00510,0.01204,   5,  15
22,2,0.00955,0.01885,   5,  15
23,2,0.00895,0.00656,   5,  15
24,2,0.03834,0.00623,   5,  15
25,2,0.00974,0.02189,   5,  15
26,2,0.00832,0.00773,   5,  15
27,2,0.00380,0.00873,   5,  15
28,2,0.00399,0.03374,   5,  15
29,2,0.00817,0.00562,   5,  15
30,2,0.01456,0.01420,   5,  15
31,2,0.01049,0.03122,   5,  15
32,2,0.00725,0.00904,   5,  15
33,2,0.01424,0.00938,   5,  15
34,2,0.00763,0.00992,   5,  15
35,2,0.00999,0.00463,   5,  15
36,2,0.00498,0.00702,   5,  15
37,2,0.04665,0.03076,   5,  15
38,2,0.00461,0.01839,   5,  15
39,2,0.00701,0.00395,   5,  15
40,2,0.00679,0.00253,   5,  15
41,2,0.00607,0.00579,   5,  15
42,2,0.00493,0.00945,   5,  15
43,2,0.01207,0.01302,   5,  15
44,2,0.01294,0.01842,   5,  15
45,2,0.00570,0.00321,   5,  15
46,2,0.01306,0.01512,   5,  15
47,2,0.00598,0.00478,   5,  15
48,2,0.00692,0.00798,   5,  15
49,2,0.00001,0.00006,   5,  15
50,2,0.00687,0.00690,   5,  15
51,2,0.00981,0.01580,   5,  15
52,2,0.01437,0.01090,   5,  15
53,2,0.00832,0.01223,   5,  15
54,2,0.00965,0.01437,   5,  15
55,2,0.01788,0.03696,   5,  15
56,2,0.00506,0.00575,   5,  15
57,2,0.00593,0.00628,   5,  15
58,2,0.00693,0.01356,   5,  15
59,2,0.00715,0.01691,   5,  15
60,2,0.00679,0.01735,   5,  15
61,2,0.01042,0.01796,   5,  15
62,2,0.00643,0.01431,   5,  15
63,2,0.00589,0.00673,   5,  15
64,2,0.00491,0.01392,   5,  15
65,2,0.00522,0.00310,   5,  15
66,2,0.02362,0.02094,   5,  15
67,2,0.00697,0.00680,   5,  15
68,2,0.00845,0.00767,   5,  15
